image,n_ground_truth,n_predicted,n_false_negative,n_false_positive
aug_aug_1_S-34-_jpg.rf.474ea199eaa21855a84d113e154a7d24_contrast.jpg,1,3,0,2
aug_aug_1_S-55-_jpg.rf.4eccde0dc505a360e8d0773546797421_orig.jpg,1,9,0,8
aug_aug_1_S-95-_jpg.rf.559ff4f283bb2e74b464404485e634bc_bright.jpg,1,3,0,2
aug_i30_jpg.rf.d879b9cd5adf91e5677d717388b0bb44_bright.jpg,1,1,1,1
aug_i30_jpg.rf.d879b9cd5adf91e5677d717388b0bb44_flip.jpg,1,1,1,1
extra_C-94-_jpg.rf.78c7ce928f4cebf621775b2067ee7dc8_contrast.jpg,1,2,0,1
extra_C-94-_jpg.rf.78c7ce928f4cebf621775b2067ee7dc8_flip.jpg,1,3,0,2
extra_H-180-_jpg.rf.b1e32d5800a98a8ad45688b35e5875dd_orig.jpg,1,2,0,1
extra_H-25-_jpg.rf.38cb159e5c4b71fa27aa7911bea0a0b7_flip.jpg,1,3,0,2
extra_H-25-_jpg.rf.38cb159e5c4b71fa27aa7911bea0a0b7_orig.jpg,1,2,0,1
extra_N-131-_jpg.rf.dd4ae00b6db7a887d6eacf7e85444d0b_bright.jpg,1,2,0,1
extra_N-163-_jpg.rf.89f5bf80b20861f74eddd695e2610c8f_orig.jpg,1,6,0,5
extra_RF-117-_jpg.rf.89d531e08a938c641ad3887ba099f502_bright.jpg,1,2,0,1
extra_RF-34-_jpg.rf.bb0fad312a2e00cd1b6f354769cdd56d_flip.jpg,1,2,0,1
extra_RF-88-_jpg.rf.4179da37a8dd5fc06b31cddc3a79894e_flip.jpg,1,2,0,1
extra_S-101-_jpg.rf.2770e49e2aafae0f084721c83aedaf55_bright.jpg,3,13,0,10
extra_S-154-_jpg.rf.ac62497d3c91d17332c8ac5261ea6ab2_bright.jpg,1,4,0,3
extra_S-53-_jpg.rf.b97348391b333adbd23a526d2b201337_orig.jpg,1,2,0,1
extra_S-90-_jpg.rf.ccc69ec5d9834091a17a39d6c08903a1_orig.jpg,2,3,0,1
extra_S-96-_jpg.rf.ece273171bbaf2556d4af47b92ca98d6_bright.jpg,1,8,0,7
extra_S-97-_jpg.rf.22344379250aae64ab912737325ab336_flip.jpg,1,8,0,7
extra_aug_0_C-133-_jpg.rf.5aa30b9982b26dad8f25591ed8c13916_flip.jpg,1,2,0,1
extra_aug_0_C-42-_jpg.rf.2af04a25f2f58f3e8c2968e5a0db9a26_orig.jpg,1,2,0,1
extra_aug_0_H-29-_jpg.rf.990614c58e9546ca1803b8c1a3927950_flip.jpg,1,2,0,1
extra_aug_0_H-76-_jpg.rf.ce20116b5f76ce8e36441c391c5a317d_bright.jpg,1,2,0,1
extra_aug_0_N-14-_jpg.rf.622d2fe73793ecf2e11b174a78c30380_contrast.jpg,1,2,0,1
extra_aug_0_RF-157-_jpg.rf.ff55df818644ad9ffdd2e2c1f612154b_orig.jpg,1,3,0,2
extra_aug_0_RF-90-_jpg.rf.f2cf6156ced4e9d16b4294d4a4f7dd9c_bright.jpg,1,2,0,1
extra_aug_0_S-103-_jpg.rf.e555648d3226f9712a44469d514462e2_contrast.jpg,1,18,0,17
extra_aug_0_S-114-_jpeg_jpg.rf.437136644b8f12ffafb73c87a3e6ad10_contrast.jpg,4,28,0,24
