image,milliseconds
aug_aug_0_RF-105-_jpg.rf.5d2822350a98e42cbaccf3a65443cd95_contrast.jpg,13.109186002111528
extra_aug_1_H-146-_jpg.rf.418ea8e0071211e4e656a4d8f31430e4_contrast.jpg,13.528871000744402
aug_aug_1_685_aug_1_i34_jpg.rf.3438eeadf0a6451940b964f1d281e888_orig.jpg,69.20851200266043
extra_H-159-_jpg.rf.3ab426a6419fb9297168e5e9b83908f8_contrast.jpg,12.597416000062367
aug_aug_1_H-142-_jpg.rf.8fb7041a3d9c175348f28b92e55b0c3a_contrast.jpg,11.553725002158899
aug_aug_1_RF-154-_jpg.rf.3d35523f40be27d5a09ad1d78bcbe745_bright.jpg,12.016676999337506
aug_aug_1_RF-22-_jpg.rf.c4e643fa11fd6c884fe0f3d4616a310f_contrast.jpg,12.604071998794097
aug_1_C-142-_jpg.rf.231ea7541a7cafbe7a81e2de8d881f87.jpg,13.307082997926045
extra_N-123-_jpg.rf.c56490ddbc362726f8a31bfb23d58b71_orig.jpg,13.171151997084962
aug_aug_0_C-84-_jpg.rf.d5f6789f2b4302f0d8b8a674d6671c5d_bright.jpg,13.553272001445293
extra_aug_1_495_N-70-_jpg.rf.2548f2d585afe1e38d7a4341a073bd88_contrast.jpg,12.941926001076354
aug_N-29-_jpg.rf.4a607e8b5eb22c42a5155ef69dc8ad88_orig.jpg,12.877533001301344
extra_aug_1_735_N-74-_jpg.rf.0a9ef129663b5d09f05b604f93cf1f15_flip.jpg,12.602997998328647
aug_B-190-_jpg.rf.c0172070e32b4ca769859c6b8b296290_contrast.jpg,12.883696999779204
extra_aug_1_211_H-76-_jpg.rf.ce20116b5f76ce8e36441c391c5a317d_contrast.jpg,12.80018800025573
aug_aug_1_RF-88-_jpg.rf.4179da37a8dd5fc06b31cddc3a79894e_contrast.jpg,13.144049000402447
extra_i30_jpg.rf.d879b9cd5adf91e5677d717388b0bb44_flip.jpg,67.91315400187159
extra_aug_0_S-129-_jpg.rf.f1a1d6ccf5adbcd00aac0b20f29451a2_orig.jpg,13.6455419997219
extra_aug_1_277_aug_0_N-58-_jpg.rf.f580fff45dbebe989a87cd27edf221b7_orig.jpg,12.974593999388162
extra_aug_0_C-107-_jpg.rf.4eb3baacf4f8b6b522db3bdbb87edf1b_orig.jpg,12.674265999521594
aug_aug_1_719_aug_1_C-100-_jpg.rf.657a22c2c02d0d55a66b5fece08a2ed7_flip.jpg,13.422708001598949
aug_aug_1_C-189-_jpg.rf.01727abb2c9471843f318ad6dfdee49a_contrast.jpg,13.240224001492606
aug_RF-12-_jpg.rf.dcefbad604feb5e31b4e0ba80f3b0e84_contrast.jpg,12.964290999661898
aug_aug_1_H-187-_jpg.rf.0368fb295870ff2c1b32d2d642dba39d_orig.jpg,12.96850499784341
extra_aug_1_i4_jpg.rf.7ef2f2d7b4da9a187d709e93ff14a2a2_flip.jpg,65.27835100132506
aug_aug_0_H-14-_jpg.rf.7351197e0d25c48d6e4ab2505a9485ee_contrast.jpg,14.307175999419997
extra_aug_1_H-76-_jpg.rf.ce20116b5f76ce8e36441c391c5a317d_contrast.jpg,12.859739999839803
