epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,12621.5,0.37311,0.3807,1.04871,0.98395,0.96933,0.97754,0.93869,0.31958,0.30012,0.73613,0.00604,0.00604,0.00604
62,12820.5,0.37512,0.38245,1.04801,0.9837,0.96938,0.98926,0.94782,0.31784,0.28396,0.73502,0.005974,0.005974,0.005974
63,13017,0.37677,0.38304,1.04786,0.98397,0.97396,0.99079,0.94924,0.31781,0.27872,0.73536,0.005908,0.005908,0.005908
64,13214.3,0.37825,0.38316,1.05043,0.98324,0.98307,0.99132,0.94998,0.31759,0.27665,0.73557,0.005842,0.005842,0.005842
65,13413.5,0.37594,0.37898,1.05012,0.98423,0.98568,0.9914,0.94939,0.31756,0.27624,0.73553,0.005776,0.005776,0.005776
66,13610.8,0.36981,0.38039,1.04452,0.98428,0.98618,0.99142,0.94995,0.31761,0.27635,0.73583,0.00571,0.00571,0.00571
67,13807.2,0.37303,0.38167,1.04717,0.98392,0.98764,0.99148,0.9494,0.31768,0.27668,0.73602,0.005644,0.005644,0.005644
68,14006.8,0.37355,0.37914,1.04721,0.98298,0.98764,0.99146,0.9491,0.31779,0.27702,0.73625,0.005578,0.005578,0.005578
69,14204.4,0.38093,0.38179,1.05185,0.98184,0.98803,0.99146,0.9483,0.31787,0.27733,0.73638,0.005512,0.005512,0.005512
70,14401.3,0.37639,0.38196,1.04924,0.98188,0.98808,0.99145,0.94803,0.318,0.27787,0.73692,0.005446,0.005446,0.005446
71,14598.6,0.37575,0.3804,1.0482,0.98143,0.98894,0.99144,0.94777,0.31811,0.27822,0.73714,0.00538,0.00538,0.00538
72,14796.7,0.37475,0.38172,1.0461,0.98113,0.98894,0.99143,0.94783,0.31808,0.27869,0.73684,0.005314,0.005314,0.005314
73,14994.6,0.37669,0.37827,1.04989,0.98131,0.98888,0.99138,0.9476,0.31812,0.27855,0.73689,0.005248,0.005248,0.005248
74,15191.8,0.37562,0.37869,1.04793,0.98131,0.98861,0.99142,0.94792,0.31818,0.27876,0.73697,0.005182,0.005182,0.005182
75,15389.7,0.37789,0.3809,1.04994,0.98127,0.98752,0.99138,0.94789,0.31814,0.27866,0.73694,0.005116,0.005116,0.005116
76,15588,0.37156,0.38001,1.04469,0.98127,0.9876,0.9914,0.9479,0.31806,0.2788,0.73694,0.00505,0.00505,0.00505
77,15785.5,0.37885,0.38184,1.05242,0.98115,0.98764,0.99134,0.948,0.31817,0.27862,0.73702,0.004984,0.004984,0.004984
78,15982.3,0.37773,0.38176,1.05137,0.98109,0.98764,0.99135,0.948,0.31834,0.27853,0.7372,0.004918,0.004918,0.004918
79,16179.6,0.37791,0.38143,1.04899,0.98102,0.98764,0.9914,0.94771,0.31817,0.2785,0.73703,0.004852,0.004852,0.004852
80,16377,0.37626,0.38261,1.04907,0.98098,0.98764,0.99132,0.94806,0.31836,0.27842,0.73723,0.004786,0.004786,0.004786
81,16574.8,0.37321,0.37725,1.04745,0.98093,0.98764,0.99139,0.94755,0.31833,0.27838,0.73716,0.00472,0.00472,0.00472
82,16771,0.3759,0.37782,1.04923,0.98101,0.98764,0.99138,0.94799,0.31844,0.27822,0.73732,0.004654,0.004654,0.004654
83,16968.7,0.37469,0.37971,1.04838,0.98095,0.98764,0.99129,0.94789,0.31849,0.27824,0.73735,0.004588,0.004588,0.004588
84,17166.1,0.37274,0.38164,1.04808,0.98097,0.98764,0.99134,0.94805,0.31838,0.27842,0.73729,0.004522,0.004522,0.004522
85,17364.6,0.37475,0.38001,1.04718,0.98097,0.98764,0.99138,0.94815,0.31844,0.27831,0.73739,0.004456,0.004456,0.004456
86,17561.1,0.37643,0.38188,1.04805,0.98111,0.98764,0.9913,0.94804,0.31846,0.27797,0.73745,0.00439,0.00439,0.00439
87,17758.5,0.37343,0.37857,1.04864,0.98109,0.98764,0.99138,0.94823,0.31847,0.27819,0.73745,0.004324,0.004324,0.004324
88,17956.4,0.37406,0.37843,1.047,0.98109,0.98764,0.99141,0.94809,0.31855,0.27793,0.73751,0.004258,0.004258,0.004258
89,18153,0.37691,0.3834,1.05005,0.98123,0.98764,0.99136,0.94818,0.31865,0.27803,0.73757,0.004192,0.004192,0.004192
90,18350.1,0.37251,0.38054,1.04695,0.98122,0.98764,0.99141,0.94768,0.31861,0.27807,0.73763,0.004126,0.004126,0.004126
91,18548,0.37161,0.37718,1.0463,0.98129,0.98764,0.9914,0.948,0.31861,0.27792,0.73761,0.00406,0.00406,0.00406
92,18745.5,0.3718,0.37841,1.04678,0.98133,0.98764,0.99132,0.9477,0.31872,0.27777,0.73768,0.003994,0.003994,0.003994
93,18942.9,0.37212,0.37646,1.04572,0.9814,0.98764,0.9914,0.94805,0.31865,0.27766,0.73772,0.003928,0.003928,0.003928
94,19139.9,0.3733,0.37815,1.0484,0.98136,0.98764,0.99136,0.94769,0.31873,0.27763,0.73784,0.003862,0.003862,0.003862
95,19337.4,0.37563,0.3803,1.0479,0.98184,0.98764,0.99141,0.94828,0.31874,0.27755,0.73779,0.003796,0.003796,0.003796
96,19535.1,0.37432,0.3786,1.05,0.98144,0.98764,0.99137,0.94833,0.31879,0.27787,0.73782,0.00373,0.00373,0.00373
97,19732.4,0.37529,0.37957,1.04808,0.98187,0.98764,0.99135,0.94818,0.31881,0.27771,0.73792,0.003664,0.003664,0.003664
98,19929.5,0.37407,0.38062,1.04746,0.98188,0.98764,0.99142,0.94848,0.31874,0.27788,0.7378,0.003598,0.003598,0.003598
99,20127.7,0.37426,0.38075,1.04715,0.98189,0.98761,0.99135,0.94793,0.3188,0.27774,0.73787,0.003532,0.003532,0.003532
100,20325.2,0.37712,0.38458,1.04985,0.98186,0.98764,0.99134,0.94829,0.31884,0.27759,0.73788,0.003466,0.003466,0.003466
101,20521.8,0.37994,0.38655,1.05054,0.98185,0.98764,0.99134,0.94774,0.3189,0.27762,0.738,0.0034,0.0034,0.0034
102,20719.2,0.37583,0.38266,1.04804,0.98188,0.98762,0.99138,0.94813,0.31896,0.27772,0.73805,0.003334,0.003334,0.003334
103,20916.9,0.37608,0.37826,1.05258,0.98188,0.98762,0.99131,0.94841,0.31901,0.27761,0.73809,0.003268,0.003268,0.003268
104,21114.5,0.37445,0.38383,1.04585,0.98185,0.98764,0.99136,0.9485,0.31895,0.27753,0.73807,0.003202,0.003202,0.003202
105,21310.8,0.37804,0.38491,1.04836,0.98188,0.98762,0.99135,0.94815,0.31901,0.27714,0.7381,0.003136,0.003136,0.003136
106,21508.7,0.37415,0.37859,1.04789,0.98187,0.98764,0.99129,0.94831,0.31894,0.27762,0.73816,0.00307,0.00307,0.00307
107,21706.2,0.3752,0.38521,1.0498,0.98187,0.98764,0.99135,0.94841,0.31909,0.2775,0.73832,0.003004,0.003004,0.003004
